@relation 'train_data-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L2-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L2-weka.filters.unsupervised.attribute.MathExpression-Eabs(A11)-R1-10,12-22-weka.filters.unsupervised.attribute.MathExpression-EA11/365-R1-10,12-22-weka.filters.unsupervised.attribute.MathExpression-Eabs(A12)-R1-11,13-22-weka.filters.unsupervised.attribute.MathExpression-EA12/365-R1-11,13-22-weka.filters.unsupervised.attribute.AddExpression-Ea11+a12-NStability-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.RenameNominalValues-RIncome-N\'(-inf-0.333333]\':Low,\'(0.333333-0.666667]\':Middle,\'(0.666667-inf)\':High-weka.filters.unsupervised.attribute.RenameNominalValues-RAge-N\'(-inf-0.333333]\':Young,\'(0.333333-0.666667]\':Adult,\'(0.666667-inf)\':Old-weka.filters.unsupervised.attribute.RenameNominalValues-R12-N\'(-inf-0.333333]\':Fresh,\'(0.333333-0.666667]\':Junior,\'(0.666667-inf)\':Senior-weka.filters.unsupervised.attribute.RenameNominalValues-R5-N\'(-inf-0.333333]\':Few,\'(0.333333-0.666667]\':Average,\'(0.666667-inf)\':Many-weka.filters.unsupervised.attribute.RenameNominalValues-R15-N\'(-inf-0.333333]\':Y,\'(0.666667-inf)\':N-weka.filters.unsupervised.attribute.RenameNominalValues-R18-N\'(-inf-0.333333]\':Few,\'(0.333333-0.666667]\':Average,\'(0.666667-inf)\':Many-weka.filters.unsupervised.attribute.RenameNominalValues-R19-N\'(-inf-0.333333]\':Fresh,\'(0.333333-0.666667]\':Junior,\'(0.666667-inf)\':Senior-weka.filters.unsupervised.attribute.RenameNominalValues-R19-N\'(-inf-0.333333]\':Y,\'(0.666667-inf)\':N-weka.filters.unsupervised.attribute.RenameNominalValues-R20-N\'(-inf-0.333333]\':Y,\'(0.666667-inf)\':N-weka.filters.unsupervised.attribute.RenameNominalValues-R21,22-N\'(-inf-0.333333]\':N,\'(0.666667-inf)\':Y-weka.filters.unsupervised.attribute.RenameNominalValues-R21-N\'(-inf-0.333333]\':N,\'(0.666667-inf)\':Y-weka.filters.unsupervised.attribute.RenameNominalValues-R13-N\'All\':Y-weka.filters.unsupervised.attribute.RenameNominalValues-R14-N\'All\':Y-weka.filters.unsupervised.attribute.RenameNominalValues-R16-N\'All\':Y-weka.filters.unsupervised.attribute.RenameNominalValues-R21,22-N\'no\':N,\'yes\':Y-weka.filters.unsupervised.attribute.RenameNominalValues-R21-N\'no\':N,\'yes\':Y-weka.filters.unsupervised.attribute.RenameNominalValues-R18-NAverage:Moderate-weka.filters.unsupervised.attribute.RenameNominalValues-R19-NFresh:New-weka.filters.unsupervised.attribute.RenameNominalValues-R19-NJunior:Moderate-weka.filters.unsupervised.attribute.RenameNominalValues-R19-NSenior:Old'

@attribute ID {'\'(-inf-0.333333]\'','\'(0.333333-0.666667]\'','\'(0.666667-inf)\''}
@attribute Gender {M,F}
@attribute 'Has a car' {Y,N}
@attribute 'Has a property' {Y,N}
@attribute 'Children count' {Few,Average,Many}
@attribute Income {Low,Middle,High}
@attribute 'Employment status' {Working,'Commercial associate',Pensioner,'State servant',Student}
@attribute 'Education level' {'Secondary / secondary special','Higher education','Lower secondary','Incomplete higher','Academic degree'}
@attribute 'Marital status' {Married,'Single / not married',Separated,'Civil marriage',Widow}
@attribute Dwelling {'With parents','House / apartment','Municipal apartment','Rented apartment','Office apartment','Co-op apartment'}
@attribute Age {Young,Adult,Old}
@attribute 'Employment length' {Fresh,Junior,Senior}
@attribute 'Has a mobile phone' {Y}
@attribute 'Has a work phone' {Y}
@attribute 'Has a phone' {Y,'\'(0.333333-0.666667]\'',N}
@attribute 'Has an email' {Y}
@attribute 'Job title' {'Core staff',Accountants,Laborers,Managers,'Sales staff','Medicine staff','High skill tech staff','HR staff','Low-skill Laborers',Drivers,Secretaries,'Cleaning staff','Cooking staff','Security staff','Private service staff','IT staff','Waiters/barmen staff','Realty agents'}
@attribute 'Family member count' {Few,Moderate,Many}
@attribute 'Account age' {New,Moderate,Old}
@attribute 'Is high risk' {Y,'\'(0.333333-0.666667]\'',N}
@attribute Outlier {no,yes}
@attribute ExtremeValue {no,yes}
@attribute Stability numeric

@data
'\'(-inf-0.333333]\'',F,Y,N,Few,Middle,Working,'Higher education','Civil marriage','House / apartment',Young,Fresh,Y,Y,Y,Y,'Core staff',Moderate,Old,Y,no,no,33.523288
'\'(0.666667-inf)\'',F,N,Y,Few,Low,'Commercial associate','Secondary / secondary special','Civil marriage','House / apartment',Adult,Fresh,Y,Y,N,Y,'Sales staff',Moderate,Old,Y,no,no,44.613699
'\'(-inf-0.333333]\'',F,N,Y,Few,Low,Working,'Secondary / secondary special',Married,'House / apartment',Old,Fresh,Y,Y,Y,Y,Laborers,Few,Moderate,Y,no,no,57.671233
'\'(0.333333-0.666667]\'',M,Y,Y,Few,High,Working,'Higher education',Married,'House / apartment',Old,Junior,Y,Y,N,Y,Managers,Few,Old,Y,no,no,64.441096
'\'(-inf-0.333333]\'',M,Y,Y,Few,High,Working,'Higher education',Married,'House / apartment',Young,Fresh,Y,Y,Y,Y,'High skill tech staff',Moderate,Moderate,Y,no,no,34.780822
'\'(0.666667-inf)\'',M,Y,Y,Few,Middle,Working,'Secondary / secondary special',Married,'Rented apartment',Adult,Fresh,Y,Y,Y,Y,Laborers,Moderate,New,Y,no,no,50.706849
'\'(0.333333-0.666667]\'',F,N,Y,Few,Low,'Commercial associate','Higher education',Married,'House / apartment',Adult,Junior,Y,Y,Y,Y,Laborers,Few,Moderate,Y,no,no,66.443836
'\'(-inf-0.333333]\'',F,N,Y,Few,Low,Working,'Higher education',Widow,'House / apartment',Old,Fresh,Y,Y,Y,Y,Secretaries,Few,Old,Y,no,no,68.956164
'\'(0.666667-inf)\'',F,N,Y,Few,Middle,Working,'Secondary / secondary special',Married,'With parents',Young,Fresh,Y,Y,Y,Y,'Cleaning staff',Moderate,Old,Y,no,no,27.958904
'\'(0.333333-0.666667]\'',F,N,Y,Few,Middle,Working,'Higher education',Married,'House / apartment',Young,Fresh,Y,Y,Y,Y,'Core staff',Moderate,Old,Y,no,no,40.471233
'\'(0.666667-inf)\'',F,N,N,Few,Low,Working,'Higher education',Married,'House / apartment',Young,Fresh,Y,Y,Y,Y,'Sales staff',Few,Moderate,Y,no,no,39.865753
'\'(-inf-0.333333]\'',F,N,Y,Few,Low,'State servant','Secondary / secondary special',Separated,'House / apartment',Adult,Fresh,Y,Y,Y,Y,Laborers,Few,Old,Y,no,no,39.926027
'\'(-inf-0.333333]\'',M,N,Y,Few,Middle,Working,'Secondary / secondary special',Married,'House / apartment',Adult,Fresh,Y,Y,Y,Y,Laborers,Few,Old,Y,no,no,46.969863
'\'(0.666667-inf)\'',F,N,Y,Few,High,'Commercial associate','Higher education',Married,'House / apartment',Adult,Fresh,Y,Y,Y,Y,Laborers,Few,Old,Y,no,no,48.060274
'\'(-inf-0.333333]\'',M,Y,N,Average,Low,Working,'Secondary / secondary special',Married,'House / apartment',Young,Fresh,Y,Y,Y,Y,Laborers,Moderate,Moderate,Y,no,no,40.427397
'\'(0.333333-0.666667]\'',M,Y,Y,Average,Low,Working,'Secondary / secondary special',Married,'House / apartment',Adult,Fresh,Y,Y,Y,Y,Drivers,Moderate,Old,Y,no,no,43.49589
'\'(-inf-0.333333]\'',F,Y,Y,Few,Low,Working,'Secondary / secondary special','Single / not married','House / apartment',Old,Fresh,Y,Y,Y,Y,Laborers,Few,Old,Y,no,no,56.712329
'\'(0.666667-inf)\'',M,N,Y,Average,Low,Working,'Secondary / secondary special',Married,'House / apartment',Adult,Fresh,Y,Y,Y,Y,Laborers,Moderate,Old,Y,no,no,55.539726
'\'(-inf-0.333333]\'',F,N,Y,Few,Low,'Commercial associate','Higher education',Married,'Rented apartment',Young,Fresh,Y,Y,Y,Y,'Cooking staff',Few,Moderate,Y,no,no,37.879452
'\'(0.666667-inf)\'',F,N,N,Few,Low,'Commercial associate','Higher education','Single / not married','Rented apartment',Young,Fresh,Y,Y,Y,Y,Laborers,Few,Moderate,Y,no,no,36.164384
'\'(0.666667-inf)\'',M,Y,N,Average,Middle,Working,'Secondary / secondary special',Married,'House / apartment',Adult,Fresh,Y,Y,Y,Y,'Core staff',Moderate,Old,Y,no,no,50.432877
'\'(-inf-0.333333]\'',M,Y,Y,Few,Middle,Working,'Secondary / secondary special',Married,'House / apartment',Adult,Fresh,Y,Y,Y,Y,Drivers,Moderate,Moderate,Y,no,no,40.405479
'\'(0.666667-inf)\'',M,N,N,Few,Low,Working,'Secondary / secondary special',Married,'House / apartment',Adult,Fresh,Y,Y,Y,Y,Laborers,Few,Moderate,Y,no,no,43.260274
'\'(0.666667-inf)\'',F,Y,Y,Few,Middle,'Commercial associate','Secondary / secondary special',Married,'House / apartment',Adult,Fresh,Y,Y,Y,Y,Laborers,Moderate,Moderate,Y,no,no,48.841096
'\'(-inf-0.333333]\'',F,N,N,Few,Low,Working,'Secondary / secondary special','Single / not married','House / apartment',Young,Fresh,Y,Y,Y,Y,'Sales staff',Few,New,Y,no,no,28.430137
'\'(-inf-0.333333]\'',F,Y,Y,Few,Low,Working,'Secondary / secondary special',Married,'House / apartment',Adult,Fresh,Y,Y,Y,Y,Laborers,Few,Old,Y,no,no,53.416438
'\'(0.666667-inf)\'',M,N,Y,Few,Low,'Commercial associate','Secondary / secondary special',Married,'House / apartment',Young,Fresh,Y,Y,Y,Y,Drivers,Moderate,New,Y,no,no,35.986301
'\'(-inf-0.333333]\'',M,Y,Y,Few,Low,Working,'Secondary / secondary special','Single / not married','Municipal apartment',Adult,Fresh,Y,Y,Y,Y,Drivers,Few,New,Y,no,no,45.139726
'\'(-inf-0.333333]\'',F,N,N,Average,Low,'Commercial associate','Incomplete higher',Married,'House / apartment',Adult,Fresh,Y,Y,N,Y,'Sales staff',Moderate,Old,Y,no,no,46.717808
'\'(-inf-0.333333]\'',F,Y,Y,Few,Middle,Working,'Higher education',Widow,'House / apartment',Young,Fresh,Y,Y,Y,Y,Managers,Few,New,Y,no,no,36.972603
'\'(0.333333-0.666667]\'',M,N,Y,Few,Low,Working,'Secondary / secondary special','Single / not married','House / apartment',Young,Fresh,Y,Y,Y,Y,Laborers,Few,Old,Y,no,no,35.016438
'\'(-inf-0.333333]\'',M,N,Y,Few,Middle,'Commercial associate','Higher education',Married,'House / apartment',Old,Fresh,Y,Y,Y,Y,Laborers,Few,New,Y,no,no,65.745205
'\'(0.333333-0.666667]\'',F,N,Y,Few,Low,'Commercial associate','Secondary / secondary special',Married,'House / apartment',Adult,Fresh,Y,Y,Y,Y,Laborers,Few,Old,Y,no,no,43.821918
'\'(0.333333-0.666667]\'',M,N,Y,Few,Middle,'Commercial associate','Higher education',Married,'Municipal apartment',Old,Fresh,Y,Y,Y,Y,Laborers,Few,Old,Y,no,no,59.430137
'\'(0.333333-0.666667]\'',F,N,N,Few,Low,Working,'Secondary / secondary special','Single / not married','House / apartment',Young,Junior,Y,Y,Y,Y,Laborers,Few,Old,Y,no,no,44.446575
'\'(0.333333-0.666667]\'',M,Y,Y,Few,Low,'Commercial associate','Higher education',Married,'House / apartment',Adult,Fresh,Y,Y,Y,Y,Drivers,Few,Moderate,Y,no,no,45.610959
'\'(-inf-0.333333]\'',M,N,Y,Few,Low,'Commercial associate','Secondary / secondary special',Married,'House / apartment',Adult,Junior,Y,Y,Y,Y,Laborers,Few,Old,Y,no,no,57.471233
'\'(-inf-0.333333]\'',M,N,Y,Few,Middle,'Commercial associate','Secondary / secondary special',Separated,'House / apartment',Adult,Fresh,Y,Y,Y,Y,'Cleaning staff',Few,New,Y,no,no,61.364384
'\'(-inf-0.333333]\'',M,Y,Y,Average,Middle,Working,'Incomplete higher',Married,'House / apartment',Young,Fresh,Y,Y,Y,Y,Drivers,Moderate,Moderate,Y,no,no,38.531507
'\'(-inf-0.333333]\'',F,N,Y,Few,Low,Working,'Secondary / secondary special',Married,'House / apartment',Adult,Fresh,Y,Y,Y,Y,'High skill tech staff',Few,Moderate,Y,no,no,49.147945
'\'(0.666667-inf)\'',F,Y,Y,Few,Middle,'Commercial associate','Higher education',Married,'House / apartment',Adult,Fresh,Y,Y,N,Y,'High skill tech staff',Few,Old,Y,no,no,45.416438
'\'(0.666667-inf)\'',F,N,N,Few,Middle,'State servant','Secondary / secondary special',Separated,'House / apartment',Old,Junior,Y,Y,Y,Y,Laborers,Few,New,Y,no,no,73.610959
'\'(0.333333-0.666667]\'',F,N,Y,Average,Middle,Working,'Secondary / secondary special',Separated,'House / apartment',Adult,Junior,Y,Y,Y,Y,'Medicine staff',Moderate,Old,Y,no,no,54.728767
'\'(-inf-0.333333]\'',M,Y,N,Average,Middle,'Commercial associate','Higher education',Married,'House / apartment',Young,Fresh,Y,Y,N,Y,'Core staff',Moderate,Moderate,Y,no,no,43.69863
'\'(0.666667-inf)\'',F,Y,N,Few,Low,Working,'Secondary / secondary special',Married,'House / apartment',Adult,Fresh,Y,Y,Y,Y,'Sales staff',Few,Old,Y,no,no,54.19726
'\'(-inf-0.333333]\'',F,N,Y,Few,Low,Working,'Secondary / secondary special',Married,'House / apartment',Adult,Junior,Y,Y,N,Y,Laborers,Few,New,Y,no,no,63.986301
'\'(-inf-0.333333]\'',F,Y,Y,Few,Low,Working,'Secondary / secondary special',Married,'House / apartment',Adult,Fresh,Y,Y,Y,Y,Laborers,Few,New,Y,no,no,41.468493
'\'(-inf-0.333333]\'',F,N,N,Few,Low,'Commercial associate','Secondary / secondary special',Married,'House / apartment',Adult,Fresh,Y,Y,Y,Y,Laborers,Few,Old,Y,no,no,51.863014
'\'(0.666667-inf)\'',M,Y,N,Few,Low,Working,'Secondary / secondary special',Married,'House / apartment',Young,Fresh,Y,Y,Y,Y,Laborers,Few,Moderate,Y,no,no,37.191781
'\'(-inf-0.333333]\'',M,Y,Y,Few,Middle,Working,'Secondary / secondary special',Married,'House / apartment',Old,Fresh,Y,Y,Y,Y,Laborers,Few,Moderate,Y,no,no,58.049315
'\'(0.333333-0.666667]\'',F,N,N,Few,Low,Working,'Secondary / secondary special','Civil marriage','House / apartment',Young,Fresh,Y,Y,N,Y,'Security staff',Few,Old,Y,no,no,32.761644
'\'(-inf-0.333333]\'',M,Y,N,Average,Middle,Working,'Secondary / secondary special',Married,'House / apartment',Adult,Fresh,Y,Y,Y,Y,Drivers,Moderate,Old,N,no,no,46.542466
'\'(-inf-0.333333]\'',M,Y,N,Few,Middle,Working,'Secondary / secondary special','Single / not married','With parents',Young,Fresh,Y,Y,Y,Y,'Core staff',Few,New,Y,no,no,40.145205
'\'(-inf-0.333333]\'',F,N,Y,Average,Low,Working,'Higher education',Married,'House / apartment',Young,Junior,Y,Y,Y,Y,Drivers,Moderate,Old,Y,no,no,44.868493
'\'(0.666667-inf)\'',F,N,N,Few,Low,Working,'Incomplete higher',Married,'With parents',Adult,Junior,Y,Y,Y,Y,'Core staff',Few,Moderate,Y,no,no,55.753425
'\'(0.666667-inf)\'',F,N,Y,Few,Low,Working,'Secondary / secondary special',Married,'House / apartment',Old,Fresh,Y,Y,N,Y,Accountants,Few,New,Y,no,no,71.208219
'\'(-inf-0.333333]\'',M,Y,N,Average,Middle,'State servant','Higher education',Married,'With parents',Young,Fresh,Y,Y,Y,Y,'High skill tech staff',Moderate,New,Y,no,no,34.180822
'\'(-inf-0.333333]\'',M,Y,N,Few,Low,Working,'Secondary / secondary special',Married,'House / apartment',Young,Fresh,Y,Y,N,Y,Drivers,Few,Old,Y,no,no,28.772603
'\'(-inf-0.333333]\'',F,N,Y,Few,Low,'State servant','Secondary / secondary special',Married,'House / apartment',Old,Fresh,Y,Y,Y,Y,'Medicine staff',Few,New,Y,no,no,60.336986
'\'(-inf-0.333333]\'',F,N,Y,Few,Middle,Working,'Secondary / secondary special','Single / not married','House / apartment',Adult,Fresh,Y,Y,N,Y,'Private service staff',Few,Old,Y,no,no,50.336986
'\'(0.666667-inf)\'',M,Y,N,Few,Low,Working,'Higher education',Married,'House / apartment',Young,Fresh,Y,Y,Y,Y,Laborers,Moderate,New,Y,no,no,37.972603
'\'(0.333333-0.666667]\'',M,Y,Y,Average,Low,Working,'Secondary / secondary special',Married,'House / apartment',Adult,Fresh,Y,Y,Y,Y,Laborers,Moderate,Old,Y,no,no,47.542466
'\'(0.333333-0.666667]\'',F,N,Y,Few,Middle,Working,'Secondary / secondary special',Married,'House / apartment',Adult,Junior,Y,Y,Y,Y,Laborers,Moderate,Moderate,Y,no,no,51.575342
'\'(-inf-0.333333]\'',F,N,N,Few,Low,Working,'Secondary / secondary special',Married,'House / apartment',Adult,Fresh,Y,Y,N,Y,'Cooking staff',Moderate,New,Y,no,no,42.734247
'\'(-inf-0.333333]\'',F,Y,N,Few,Low,'Commercial associate','Higher education','Single / not married','House / apartment',Young,Fresh,Y,Y,Y,Y,Accountants,Few,Moderate,Y,no,no,32.276712
'\'(0.333333-0.666667]\'',M,N,N,Few,Low,Working,'Secondary / secondary special','Single / not married','House / apartment',Adult,Junior,Y,Y,Y,Y,Laborers,Few,Old,Y,no,no,63.328767
'\'(0.666667-inf)\'',M,Y,Y,Few,Middle,Working,'Higher education',Married,'With parents',Young,Fresh,Y,Y,Y,Y,Laborers,Few,Old,Y,no,no,40.517808
'\'(0.333333-0.666667]\'',F,N,Y,Few,Low,Working,'Secondary / secondary special',Married,'House / apartment',Adult,Junior,Y,Y,Y,Y,'Core staff',Moderate,Moderate,Y,no,no,50.178082
'\'(0.333333-0.666667]\'',F,Y,N,Few,Low,Working,'Secondary / secondary special',Married,'House / apartment',Adult,Fresh,Y,Y,Y,Y,'Medicine staff',Few,New,Y,no,no,48.649315
'\'(-inf-0.333333]\'',M,N,Y,Few,Low,Working,'Secondary / secondary special',Married,'With parents',Adult,Senior,Y,Y,N,Y,Laborers,Few,New,Y,no,no,64.071233
'\'(-inf-0.333333]\'',F,N,N,Few,Low,Working,'Secondary / secondary special',Married,'House / apartment',Adult,Fresh,Y,Y,Y,Y,Laborers,Few,Moderate,Y,no,no,56.30137
'\'(-inf-0.333333]\'',F,Y,Y,Few,Low,Working,'Secondary / secondary special','Civil marriage','House / apartment',Adult,Fresh,Y,Y,Y,Y,'Cooking staff',Few,Old,Y,no,no,40.936986
'\'(0.333333-0.666667]\'',F,Y,N,Few,Low,Working,'Secondary / secondary special',Married,'House / apartment',Old,Fresh,Y,Y,N,Y,Laborers,Few,Old,Y,no,no,61.454795
'\'(-inf-0.333333]\'',F,N,N,Average,Middle,Working,'Secondary / secondary special',Married,'House / apartment',Young,Fresh,Y,Y,Y,Y,'Core staff',Moderate,Old,Y,no,no,36.065753
